	NN	WDT	VB	,	PDT	RP	JJS	)	RBS	DT	FW	NNS	CD	``	WP	TO	UH	VBZ	RBR	JJR	(	PRP$	#	JJ	VBG	RB	.	VBP	PRP	IN	CC	MD	$	POS	WP$	''	SYM	EX	WRB	VBD	NNPS	LS	NNP	VBN	:
WP$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	392	0	0	0	0	0	0	0	0	0
SYM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0
WRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0
VBD	17	0	6	0	0	0	0	0	0	0	0	2	1	0	0	0	0	16	0	0	0	0	0	5	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1344	0	0	16	95	0
NNPS	10	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	51	0	0
LS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0
NNP	112	0	7	0	0	0	0	0	0	5	29	16	41	0	0	0	0	6	0	0	0	0	0	123	5	2	0	0	2	2	0	0	0	0	0	0	0	0	0	4	40	0	4714	5	0
VBN	12	0	14	0	0	0	0	0	0	0	0	9	13	0	0	0	0	1	0	0	0	0	0	64	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	19	794	0
:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285
